2026-05-28 14:46:03|1|7|4|1|9|2
2026-05-28 15:03:05|1|4|1|1|1|0
2026-05-28 15:05:41|1|3|0|0|0|0
2026-05-28 15:07:36|1|11|12|4|5|2
2026-05-28 15:09:45|1|3|0|0|1|0
2026-05-28 15:15:02|1|5|2|2|7|2
2026-05-28 15:15:45|2|5|2|0|3|0
2026-05-28 15:23:02|1|5|2|0|0|0
2026-05-28 15:24:21|1|3|0|0|0|0
2026-05-28 15:24:26|1|3|0|0|0|0
2026-05-28 15:25:00|1|3|0|0|0|0
2026-05-28 15:25:16|1|4|1|0|1|0
2026-05-28 15:27:27|1|4|1|0|0|0
2026-05-28 15:27:36|1|4|1|0|0|0
2026-05-28 15:27:46|1|4|1|0|0|0
2026-05-28 15:27:55|1|4|1|0|0|0
2026-05-28 15:28:00|1|3|0|0|0|0
2026-05-28 15:28:05|1|3|0|0|0|0
2026-05-28 15:31:22|1|3|0|0|0|0
2026-05-28 15:32:09|1|3|0|0|0|0
2026-05-28 15:32:55|1|3|0|0|0|0
2026-05-28 15:33:01|1|3|0|0|0|0
2026-05-28 15:33:05|1|3|0|0|0|0
2026-05-28 15:33:10|1|3|0|0|0|0
2026-05-28 15:34:44|1|3|0|0|0|0
2026-05-28 15:34:52|1|3|0|0|0|0
2026-05-28 15:41:49|1|3|0|0|0|0
2026-05-28 15:42:07|1|4|1|1|1|0
2026-05-28 16:05:36|1|6|4|3|1|0
2026-05-28 18:44:01|1|3|0|0|0|0
2026-05-28 18:51:58|1|3|0|0|0|0
2026-05-28 18:52:03|1|3|0|0|0|0
2026-05-28 18:54:22|1|6|4|3|3|1
2026-05-28 19:55:58|1|7|4|0|2|1
2026-05-28 19:56:10|1|3|0|0|0|0
2026-05-28 19:56:19|1|3|0|0|0|0
2026-05-28 19:57:30|1|3|0|0|2|0
2026-05-28 19:57:32|1|3|0|0|0|0
2026-05-28 19:57:49|1|3|0|0|1|0
2026-05-28 19:58:40|1|6|4|2|3|2
2026-05-28 19:59:33|2|10|8|2|2|3
2026-06-13 16:53:29|1|4|1|0|3|1
2026-06-13 19:19:31|1|3|0|0|2|0
2026-06-13 19:19:42|1|3|0|0|2|0
2026-06-13 19:29:01|1|3|0|0|0|0
2026-06-13 19:31:55|1|3|0|0|0|0
2026-06-13 19:43:13|1|8|6|1|4|2
2026-06-13 19:43:33|2|3|0|0|1|0
2026-06-13 19:44:57|1|8|5|1|2|1
2026-06-13 19:47:54|2|9|8|4|14|5
2026-06-13 19:50:40|3|11|11|3|9|4
2026-06-13 19:53:02|4|7|8|5|7|4
2026-06-13 20:46:14|1|5|2|2|2|1
2026-06-13 20:48:14|1|5|2|1|2|1
2026-06-13 20:49:18|1|7|7|3|3|1
2026-06-13 20:49:29|2|3|0|0|0|0
2026-06-13 20:50:30|1|6|5|2|5|1
2026-06-13 20:53:47|2|3|0|0|0|0
2026-06-13 21:00:44|1|11|9|1|4|2
2026-06-13 21:02:00|2|9|7|2|4|1
2026-06-13 21:02:51|1|9|7|2|3|2
2026-06-13 21:03:15|2|5|2|1|4|1
2026-06-13 21:04:30|1|8|8|4|3|2
2026-06-13 21:05:01|2|5|2|0|3|2
2026-06-13 21:07:02|1|8|6|2|2|2
2026-06-13 21:07:15|2|5|2|1|2|1
2026-06-13 21:08:32|1|8|7|3|3|1
2026-06-13 21:10:26|2|9|10|4|4|2
2026-06-13 21:11:39|3|10|9|2|5|1
2026-06-13 21:11:55|1|3|0|0|0|0
2026-06-13 21:13:18|1|8|8|4|4|3
2026-06-13 21:30:00|1|7|5|3|4|2
2026-06-13 21:31:06|1|5|3|3|1|1
2026-06-13 21:35:28|1|3|0|0|0|0
